iter	Passed	Remaining
707	17672	7288
708	17717	7271
709	17738	7245
710	17769	7222
711	17803	7201
712	17822	7173
713	17844	7147
714	17886	7129
715	17906	7102
716	17926	7075
717	17948	7049
718	17960	7019
719	17984	6993
720	18015	6971
721	18038	6945
722	18059	6918
723	18098	6899
724	18114	6870
725	18126	6841
726	18147	6814
727	18175	6791
728	18188	6761
729	18196	6730
730	18204	6699
731	18212	6667
732	18222	6637
733	18229	6606
734	18236	6575
735	18245	6544
736	18253	6513
737	18260	6482
738	18268	6451
739	18275	6421
740	18283	6390
741	18290	6359
742	18324	6338
743	18340	6310
744	18348	6280
745	18357	6250
746	18365	6220
747	18372	6189
748	18379	6159
749	18387	6129
750	18395	6099
751	18402	6068
752	18410	6038
753	18418	6009
754	18430	5980
755	18438	5950
756	18446	5921
757	18454	5891
758	18463	5862
759	18471	5833
760	18479	5803
761	18487	5774
762	18495	5744
763	18503	5715
764	18512	5686
765	18521	5657
766	18528	5628
767	18536	5599
768	18543	5570
769	18550	5541
770	18558	5512
771	18566	5483
772	18574	5454
773	18581	5425
774	18589	5396
775	18597	5368
776	18604	5339
777	18612	5310
778	18618	5282
779	18625	5253
780	18633	5224
781	18641	5196
782	18648	5168
783	18657	5140
784	18665	5112
785	18672	5083
786	18681	5056
787	18689	5028
788	18697	5000
789	18705	4972
790	18712	4944
791	18718	4916
792	18727	4888
793	18734	4860
794	18774	4841
795	18787	4814
796	18820	4793
797	18859	4774
798	18878	4749
799	18912	4728
800	18928	4702
801	18943	4676
802	18963	4652
803	19004	4633
804	19096	4625
805	19133	4605
806	19155	4581
807	19212	4565
