iter	Accuracy	Logloss
427	0.9571471381	0.153225692
428	0.9575466986	0.1528888769
429	0.9574468085	0.1528270959
430	0.957846369	0.152529294
431	0.9580461492	0.1522097291
432	0.9581460394	0.1518481507
433	0.9582459295	0.1514775167
434	0.95864549	0.1512444947
435	0.9591449406	0.1511481346
436	0.9590450504	0.1510069403
437	0.9594446109	0.1508078991
438	0.9602437319	0.1500455789
439	0.960343622	0.1498785591
440	0.9601438418	0.1495962822
441	0.960343622	0.1493233491
442	0.9604435121	0.1488231888
443	0.9605434023	0.1485110841
444	0.9606432924	0.1483581606
445	0.9606432924	0.1481859874
446	0.9606432924	0.1480732201
447	0.9606432924	0.1478144323
448	0.9610428529	0.1474956148
449	0.9610428529	0.14721187
450	0.9615423035	0.1468509894
451	0.9612426331	0.1466961367
452	0.9613425232	0.1464716467
453	0.9616421936	0.146399238
454	0.9622415343	0.1459594653
455	0.9626410948	0.1457567201
456	0.9623414244	0.1455117595
457	0.962840875	0.1452045763
458	0.962840875	0.1449855207
459	0.9631405454	0.1445470106
460	0.9630406553	0.1443632925
461	0.9632404355	0.1442055577
462	0.9635401059	0.1440160999
463	0.9638397762	0.1439130048
464	0.9638397762	0.143885602
465	0.9637398861	0.1438209443
466	0.9633403256	0.14346971
467	0.9632404355	0.1432978163
468	0.9635401059	0.1427830083
469	0.963639996	0.1422964141
470	0.963639996	0.1422290672
471	0.9640395565	0.1421030157
472	0.9647387873	0.1416745727
473	0.9646388972	0.1414859222
474	0.9651383478	0.141164848
475	0.9654380182	0.1409243752
476	0.9657376885	0.1405655468
477	0.9659374688	0.1402975119
478	0.9659374688	0.1400375134
479	0.9663370293	0.1396856535
480	0.9663370293	0.1395552943
481	0.9665368095	0.1394996533
482	0.966137249	0.1392307407
483	0.9662371391	0.1391600217
484	0.9666366996	0.1389460221
485	0.9665368095	0.1386605153
486	0.9666366996	0.1384111364
487	0.9666366996	0.1382865156
488	0.9668364799	0.1380669963
489	0.9667365898	0.1378622038
490	0.9668364799	0.1378360157
491	0.9673359305	0.1375312883
492	0.9673359305	0.1374241312
493	0.9672360404	0.1373018721
494	0.9675357107	0.1371468743
495	0.9675357107	0.1370897559
496	0.9674358206	0.1366587263
497	0.9674358206	0.13652244
498	0.9676356008	0.1362594256
499	0.9676356008	0.1361970155
500	0.967735491	0.1360352665
501	0.9680351613	0.1358961613
502	0.9682349416	0.1358660443
503	0.9683348317	0.1354952017
504	0.9684347218	0.1353863771
505	0.9684347218	0.1351182461
506	0.9683348317	0.1347431236
507	0.9683348317	0.1345788495
508	0.9683348317	0.1343858241
509	0.968634502	0.1342729014
510	0.9688342823	0.1341626207
511	0.9690340625	0.1336358828
512	0.9690340625	0.1334567272
513	0.9693337329	0.1332141987
514	0.9692338428	0.133109141
515	0.969433623	0.1328470091
516	0.9698331835	0.1325566099
517	0.9703326341	0.1323327288
518	0.9703326341	0.1319460207
519	0.9705324143	0.1317567412
520	0.970232744	0.1314855478
521	0.9703326341	0.1312680073
522	0.9704325242	0.1309090768
523	0.9707321946	0.1305616921
524	0.9709319748	0.1304131981
525	0.9709319748	0.1301486475
526	0.9710318649	0.1301245904
527	0.9712316452	0.1300038372
528	0.9711317551	0.1296256116
529	0.9709319748	0.1292257478
530	0.9712316452	0.12890887
531	0.9715313156	0.128755635
532	0.9713315353	0.1286439315
533	0.9716312057	0.1282131792
534	0.971930876	0.1279620266
535	0.9723304365	0.1277841446
536	0.9718309859	0.1274860507
537	0.971930876	0.1274551744
538	0.971930876	0.1271804727
539	0.9724303266	0.1268463013
540	0.9724303266	0.1266222219
541	0.9722305464	0.1263510206
542	0.9725302168	0.1262091549
543	0.9724303266	0.1258820097
544	0.9734292278	0.125442316
545	0.9738287883	0.12502325
546	0.9742283488	0.1248189406
547	0.9742283488	0.1247319918
548	0.9740285686	0.1245336815
549	0.9742283488	0.1243338343
550	0.9742283488	0.1240790433
551	0.9742283488	0.1239775566
552	0.9743282389	0.123636338
553	0.9743282389	0.1234827454
554	0.9744281291	0.1233843633
555	0.9750274698	0.1231165204
556	0.9750274698	0.1227435007
557	0.9753271401	0.1224340145
558	0.9753271401	0.1222742103
559	0.9754270303	0.1222178634
560	0.976026371	0.121990627
561	0.9763260414	0.1218301961
562	0.9764259315	0.1217189672
563	0.9762261512	0.1215230214
564	0.9765258216	0.121420744
565	0.9766257117	0.1211257703
566	0.9765258216	0.1208348479
567	0.9765258216	0.1204935074
568	0.9765258216	0.1204587139
569	0.9764259315	0.1203126128
570	0.9765258216	0.1202399575
571	0.9770252722	0.1201285645
572	0.9770252722	0.1200764381
573	0.9771251623	0.1198405866
574	0.9771251623	0.1197517922
575	0.9769253821	0.1195615429
576	0.9770252722	0.1194599612
577	0.9772250524	0.1191815412
578	0.9772250524	0.1190028292
579	0.9775247228	0.1188562536
580	0.9776246129	0.1188109186
581	0.9775247228	0.1185282923
582	0.9776246129	0.1183757127
583	0.977724503	0.1181352845
584	0.9776246129	0.1179691359
585	0.9772250524	0.1179360591
586	0.9774248327	0.1177406681
587	0.9774248327	0.1177065572
588	0.9774248327	0.1174444981
589	0.9773249426	0.1174270141
590	0.9776246129	0.1172576088
591	0.977724503	0.117187253
592	0.9775247228	0.1169878823
593	0.9778243932	0.1168273147
594	0.9778243932	0.1166733726
595	0.9779242833	0.1164979829
596	0.9778243932	0.1162270821
597	0.9783238438	0.1161106206
598	0.9782239537	0.1158839309
599	0.9784237339	0.1156919061
600	0.978523624	0.1156064289
601	0.9783238438	0.1155719116
602	0.9784237339	0.1153085122
603	0.978523624	0.1151618954
604	0.9787234043	0.1149875139
605	0.9790230746	0.1148463302
606	0.9791229647	0.1147502565
607	0.9792228549	0.1146527256
608	0.9792228549	0.1144907066
609	0.9792228549	0.1144482577
610	0.979322745	0.1143757103
611	0.979322745	0.114285195
612	0.9795225252	0.11414275
613	0.9795225252	0.1140202441
614	0.9797223055	0.1137567525
615	0.9795225252	0.1135878619
616	0.9796224153	0.1134561138
617	0.9797223055	0.1133420683
618	0.9798221956	0.1130903591
619	0.9800219758	0.1129882706
620	0.9803216462	0.1128872616
621	0.9802217561	0.1126152927
622	0.9805214264	0.1122611834
623	0.9805214264	0.1122092966
624	0.9804215363	0.1120094324
625	0.9803216462	0.1119484865
626	0.9803216462	0.1118739832
627	0.9808210968	0.1115604401
628	0.9809209869	0.1113497264
629	0.9808210968	0.1110913675
630	0.9808210968	0.110905289
631	0.9808210968	0.1107007122
632	0.9805214264	0.1106071176
633	0.9808210968	0.1104308353
634	0.9809209869	0.1103906437
635	0.9806213166	0.1103133072
636	0.981020877	0.1100209453
637	0.9808210968	0.1096286245
638	0.9807212067	0.1094935123
639	0.9807212067	0.1094360042
640	0.9808210968	0.1090727545
641	0.9811207672	0.1088421811
642	0.9811207672	0.1088174963
643	0.9812206573	0.1086962135
644	0.9814204375	0.1084307972
645	0.9815203276	0.1082734942
646	0.9813205474	0.1080912314
647	0.9814204375	0.1080181025
648	0.9811207672	0.1078650758
649	0.9811207672	0.1076672993
650	0.9815203276	0.1073321661
651	0.9814204375	0.1072347258
652	0.9817201079	0.1071481669
653	0.9817201079	0.107012604
654	0.9820197782	0.106877943
655	0.9820197782	0.1067035068
656	0.9817201079	0.1065911632
657	0.9820197782	0.1063232317
658	0.9820197782	0.1061102843
659	0.9823194486	0.1059292954
660	0.982619119	0.1058257221
661	0.982619119	0.1057781482
662	0.9827190091	0.1057245855
663	0.982619119	0.1056177221
664	0.9823194486	0.1055418132
665	0.9822195585	0.1053304153
666	0.9825192288	0.1052250444
667	0.9827190091	0.1050620836
668	0.9825192288	0.1049112017
669	0.9831185696	0.1046833786
670	0.9830186795	0.1044426778
671	0.9832184597	0.1043187101
672	0.9835181301	0.1042196291
673	0.9830186795	0.1039604246
674	0.9831185696	0.1039329717
675	0.9833183498	0.1037510203
676	0.9838178004	0.1034820293
677	0.9839176905	0.1033872686
